"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","HOSPITALBED","TOT","1000HAB","A","2019",2.03,
"CHL","HOSPITALBED","TOT","1000HAB","A","2020",2.01,
"CHL","HOSPITALBED","TOT","1000HAB","A","2021",1.95,
"CHL","HOSPITALBED","TOT","1000HAB","A","2022",1.93,
"CHN","HOSPITALBED","TOT","1000HAB","A","2019",4.83,
"CHN","HOSPITALBED","TOT","1000HAB","A","2020",5,
"CHN","HOSPITALBED","TOT","1000HAB","A","2021",5.2,
"EST","HOSPITALBED","TOT","1000HAB","A","2019",4.53,
"EST","HOSPITALBED","TOT","1000HAB","A","2020",4.46,
"EST","HOSPITALBED","TOT","1000HAB","A","2021",4.39,
"ISR","HOSPITALBED","TOT","1000HAB","A","2019",2.97,
"ISR","HOSPITALBED","TOT","1000HAB","A","2020",2.92,
"ISR","HOSPITALBED","TOT","1000HAB","A","2021",2.91,
"ISR","HOSPITALBED","TOT","1000HAB","A","2022",2.99,
"RUS","HOSPITALBED","TOT","1000HAB","A","2019",8,
"SVN","HOSPITALBED","TOT","1000HAB","A","2019",4.43,
"SVN","HOSPITALBED","TOT","1000HAB","A","2020",4.28,
"SVN","HOSPITALBED","TOT","1000HAB","A","2021",4.25,
"COL","HOSPITALBED","TOT","1000HAB","A","2019",1.74,
"COL","HOSPITALBED","TOT","1000HAB","A","2020",1.69,
"LVA","HOSPITALBED","TOT","1000HAB","A","2019",5.42,
"LVA","HOSPITALBED","TOT","1000HAB","A","2020",5.29,
"LVA","HOSPITALBED","TOT","1000HAB","A","2021",5.16,
"LTU","HOSPITALBED","TOT","1000HAB","A","2019",6.35,
"LTU","HOSPITALBED","TOT","1000HAB","A","2020",6.01,
"LTU","HOSPITALBED","TOT","1000HAB","A","2021",6.05,
"CRI","HOSPITALBED","TOT","1000HAB","A","2019",1.1,
"CRI","HOSPITALBED","TOT","1000HAB","A","2020",1.15,"B"
"CRI","HOSPITALBED","TOT","1000HAB","A","2021",1.17,
"CRI","HOSPITALBED","TOT","1000HAB","A","2022",1.11,"E"
"BGR","HOSPITALBED","TOT","1000HAB","A","2019",7.74,
"BGR","HOSPITALBED","TOT","1000HAB","A","2020",7.82,
"BGR","HOSPITALBED","TOT","1000HAB","A","2021",7.92,
"HRV","HOSPITALBED","TOT","1000HAB","A","2019",5.66,
"HRV","HOSPITALBED","TOT","1000HAB","A","2020",5.66,
"HRV","HOSPITALBED","TOT","1000HAB","A","2021",5.68,
"ROU","HOSPITALBED","TOT","1000HAB","A","2019",7.06,
"ROU","HOSPITALBED","TOT","1000HAB","A","2020",7.12,
"ROU","HOSPITALBED","TOT","1000HAB","A","2021",7.21,
